Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
275,Gabriel Moreno,24,ARI,NL,2.6,97,351,305,39,81,18,1,5,45,3,1,41,52,.266,.353,.380,.734,105,.327,105,116,10,2,0,3,1,2H/5,,morenga01
118,Christian Walker,33,ARI,NL,2.6,130,552,479,72,120,26,0,26,84,2,2,55,133,.251,.335,.468,.803,121,.340,116,224,12,10,0,8,4,*3/H,GG,walkech02
101,Ketel Marte#,30,ARI,NL,6.8,136,583,504,93,147,23,2,36,95,7,1,65,106,.292,.372,.560,.932,155,.396,155,282,9,5,0,9,7,*4D/H6,ASMVP-3SS,marteke01
253,Geraldo Perdomo#,24,ARI,NL,3.5,98,388,337,61,92,21,2,3,37,9,1,36,58,.273,.344,.374,.718,101,.328,104,126,5,3,7,5,0,6/H,,perdoge01
51,Eugenio Suárez,32,ARI,NL,3.1,158,640,571,90,146,28,2,30,101,2,1,49,176,.256,.319,.469,.788,116,.340,115,268,10,9,0,11,0,*5/D,,suareeu01
117,Lourdes Gurriel Jr.,30,ARI,NL,2.0,133,553,513,72,143,22,2,18,75,7,1,29,101,.279,.322,.435,.757,109,.329,106,223,16,6,0,5,1,*7H/D3,,gurrilo01==[
19,Corbin Carroll*,23,ARI,NL,3.4,158,684,589,121,136,22,14,22,74,35,8,73,130,.231,.322,.428,.749,107,.333,106,252,3,10,3,9,0,*89/H,,carroco02
161,Jake McCarthy*,26,ARI,NL,1.7,142,495,442,66,126,13,7,8,56,25,6,31,78,.285,.349,.400,.749,109,.335,107,177,4,14,5,3,1,*987H/D,,mccarja02
207,Joc Pederson*,32,ARI,NL,2.9,132,449,367,62,101,17,1,23,64,7,4,55,105,.275,.393,.515,.908,151,.388,151,189,5,18,1,3,2,*DH,,pederjo01

