Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
155,Charlie Blackmon*,37,COL,NL,0.6,124,499,449,59,115,24,5,12,52,6,2,43,86,.256,.329,.412,.741,100,.329,100,185,4,6,0,1,2,D9H/8,,blackch02
11,Ezequiel Tovar,22,COL,NL,3.8,157,695,655,83,176,45,4,26,78,6,5,23,200,.269,.295,.469,.763,103,.325,99,307,16,4,5,7,1,*6,MVP-19GG,tovarez01
44,Ryan McMahon*,29,COL,NL,2.5,153,645,567,68,137,28,0,20,65,4,6,69,185,.242,.325,.397,.722,95,.311,90,225,9,3,0,4,4,*5/DH,AS,mcmahry01
277,Elias Díaz,33,COL,NL,1.2,84,327,304,26,82,18,0,5,36,0,0,17,64,.270,.315,.378,.693,87,.306,84,115,13,4,0,2,2,2D/H,,diazel01
518,Kris Bryant,32,COL,NL,-0.7,37,155,133,9,29,5,0,2,15,0,0,13,48,.218,.323,.301,.623,71,.292,74,40,6,8,0,1,0,D93,,bryankr01
122,Brendan Rodgers,27,COL,NL,1.1,135,539,501,67,134,29,1,13,54,1,0,31,132,.267,.314,.407,.721,94,.317,92,204,12,4,1,2,1,*4/DH,,rodgebr02
284,Jake Cave*,31,COL,NL,-0.7,123,346,323,42,81,16,5,7,37,5,2,18,98,.251,.290,.396,.686,84,.297,77,128,6,1,1,3,1,*97H/8D,,caveja01
85,Brenton Doyle,26,COL,NL,4.0,149,603,542,82,141,24,4,23,72,30,5,46,153,.260,.317,.446,.764,104,.338,102,242,13,3,4,8,1,*8/DH,GG,doylebr02
479,Jordan Beck,23,COL,NL,-0.8,55,184,170,14,32,6,0,3,13,7,1,12,65,.188,.245,.276,.521,41,.246,36,47,3,1,0,1,1,79/8H,,beckjo01

