Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
2,Shohei Ohtani*,29,LAD,NL,9.2,159,731,636,134,197,38,7,54,130,59,4,81,162,.310,.390,.646,1.036,190,.449,190,411,7,6,0,5,10,*D,ASMVP-1SS,ohtansh01
144,Mookie Betts,31,LAD,NL,4.8,116,516,450,75,130,24,5,19,75,16,2,61,57,.289,.372,.491,.863,145,.377,145,221,10,1,0,4,2,694/H,ASMVP-13SS,bettsmo01
52,Freddie Freeman*,34,LAD,NL,4.7,147,638,542,81,153,35,2,22,89,9,2,78,100,.282,.378,.476,.854,143,.370,142,258,13,10,0,8,9,*3,ASMVP-17,freemfr01
37,Teoscar Hernández,31,LAD,NL,4.3,154,652,589,84,160,32,2,33,99,12,3,53,188,.272,.339,.501,.840,137,.368,141,295,7,8,0,1,3,*79,ASMVP-19SS,hernate01
355,Max Muncy*,33,LAD,NL,3.0,73,293,237,47,55,17,0,15,48,1,0,45,77,.232,.358,.494,.852,141,.361,136,117,1,5,0,6,3,5/H,,muncyma01
247,Kiké Hernández,32,LAD,NL,1.3,126,393,362,44,83,16,0,12,42,0,0,27,77,.229,.281,.373,.654,85,.294,88,135,13,0,1,3,0,5H3784/61D,,hernaen02
522,Tommy Edman#,29,LAD,NL,0.9,37,153,139,20,33,5,1,6,20,6,0,11,30,.237,.294,.417,.711,101,.321,101,58,2,1,0,2,0,86/H4,,edmanto01
120,Will Smith,29,LAD,NL,3.5,128,544,476,77,118,24,2,20,75,1,1,51,105,.248,.327,.433,.760,116,.327,112,206,8,9,0,8,6,*2/HD,AS,smithwi05
165,Gavin Lux*,26,LAD,NL,2.1,139,487,439,59,110,24,2,10,50,5,2,44,110,.251,.320,.383,.703,101,.314,103,168,8,2,0,2,0,*4H/6,,luxga01
    
