Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Jarren Duran*,27,BOS,AL,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,.285,.342,.492,.834,129,.373,134,330,6,6,1,3,1,*87,ASMVP-8,duranja01
2,Shohei Ohtani*,29,LAD,NL,9.2,159,731,636,134,197,38,7,54,130,59,4,81,162,.310,.390,.646,1.036,190,.449,190,411,7,6,0,5,10,*D,ASMVP-1SS,ohtansh01
3,Gunnar Henderson*,23,BAL,AL,9.1,159,719,630,118,177,31,7,37,92,21,4,78,159,.281,.364,.529,.893,159,.385,157,333,2,7,0,4,1,*6/D,ASMVP-4,hendegu01
4,Marcus Semien,33,TEX,AL,4.1,159,718,650,101,154,27,2,23,74,8,3,64,105,.237,.308,.391,.699,100,.310,100,254,9,3,0,1,2,*4,AS,semiema01
5,Juan Soto*,25,NYY,AL,7.9,157,713,576,128,166,31,4,41,109,7,4,129,119,.288,.419,.569,.989,178,.424,179,328,10,4,0,4,2,*9/7DH,ASMVP-3SS,sotoju01
6,Bobby Witt Jr.,24,KCR,AL,9.4,161,709,636,125,211,45,11,32,109,31,12,57,106,.332,.389,.588,.977,171,.416,171,374,4,8,0,8,9,*6/D,ASMVP-2GGSS,wittbo02
7,Aaron Judge,32,NYY,AL,10.8,158,704,559,122,180,36,1,58,144,10,0,133,171,.322,.458,.701,1.159,223,.484,223,392,22,9,0,2,20,*8D/97,ASMVP-1SS,judgeaa01
8,Vladimir Guerrero Jr.,25,TOR,AL,6.2,159,697,616,98,199,44,1,30,103,2,2,72,96,.323,.396,.544,.940,166,.399,165,335,16,5,0,4,12,*3D5/H,ASMVP-6SS,guerrvl02
9,Elly De La Cruz#,22,CIN,NL,5.2,160,696,618,105,160,36,10,25,76,67,16,69,218,.259,.339,.471,.809,119,.367,122,291,12,6,2,1,2,*6/H,ASMVP-8,delacel01
10,Pete Alonso,29,NYM,NL,2.6,162,695,608,91,146,31,0,34,88,3,0,70,172,.240,.329,.459,.788,123,.341,122,279,14,13,0,4,4,*3/DH,AS,alonspe01
